instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,kategori
1,2011-01-01,Spring,2011,January,0,Saturday,0,2,0.35516959600347203,0.37351737876240565,0.8286200514138817,0.28460620119145374,331,654,985,Rendah
2,2011-01-02,Spring,2011,January,0,Sunday,0,2,0.3792320499775338,0.36054066910781774,0.7157706940874036,0.4662145544376673,131,670,801,Rendah
3,2011-01-03,Spring,2011,January,0,Monday,1,1,0.17099980237661438,0.14483010827663623,0.4496380462724936,0.46574039733952516,120,1229,1349,Sedang
4,2011-01-04,Spring,2011,January,0,Tuesday,1,1,0.17553043686730302,0.17464923767409474,0.6071311053984576,0.28429696830136103,108,1454,1562,Sedang
5,2011-01-05,Spring,2011,January,0,Wednesday,1,1,0.20912018218234535,0.19715830273143586,0.44931311053984574,0.3391425136881939,82,1518,1600,Sedang
6,2011-01-06,Spring,2011,January,0,Thursday,1,1,0.1809482583099637,0.20232877201420163,0.5329161953727506,0.13848170361759188,88,1518,1606,Sedang
7,2011-01-07,Spring,2011,January,0,Friday,1,2,0.17119667813281042,0.17033985695428772,0.5127979434447301,0.3016758567245681,148,1362,1510,Sedang
8,2011-01-08,Spring,2011,January,0,Saturday,0,2,0.1319187187226103,0.10919075526917942,0.5509850899742931,0.5038688126879493,68,891,959,Rendah
9,2011-01-09,Spring,2011,January,0,Sunday,0,1,0.098690327643624,0.04870584689635328,0.44644421593830336,0.7000172964263193,54,768,822,Rendah
10,2011-01-10,Spring,2011,January,0,Monday,1,1,0.11426594126672852,0.09427134580791631,0.4965727506426735,0.41411499711485716,41,1280,1321,Sedang
11,2011-01-11,Spring,2011,January,0,Tuesday,1,2,0.13701630554917993,0.14753282375092275,0.7057727506426734,0.20561987485138783,43,1220,1263,Sedang
12,2011-01-12,Spring,2011,January,0,Wednesday,1,1,0.14154694003986856,0.10685295232614674,0.6164987146529562,0.5818429167011119,25,1137,1162,Sedang
13,2011-01-13,Spring,2011,January,0,Thursday,1,1,0.1319187187226103,0.09426478263289377,0.48371928020565547,0.5743656654186715,38,1368,1406,Sedang
14,2011-01-14,Spring,2011,January,0,Friday,1,1,0.12677253598153654,0.14352797435216208,0.5530344473007712,0.2147236911357155,54,1367,1421,Sedang
15,2011-01-15,Spring,2011,January,0,Saturday,0,2,0.2170649911792185,0.22189097148641734,0.512853470437018,0.27948736608412,222,1026,1248,Sedang
16,2011-01-16,Spring,2011,January,0,Sunday,0,1,0.21498907339553114,0.20365190809874795,0.4974293059125964,0.3423028738249408,251,953,1204,Sedang
17,2011-01-17,Spring,2011,January,1,Monday,0,2,0.14541716851293757,0.12824627762965418,0.5526992287917737,0.3538145835467899,117,883,1000,Sedang
18,2011-01-18,Spring,2011,January,0,Tuesday,1,2,0.1962983370478057,0.20117890375025066,0.8860329048843186,0.25642271558840934,9,674,683,Rendah
19,2011-01-19,Spring,2011,January,0,Wednesday,1,2,0.290383765674986,0.2879296385633262,0.7627136246786632,0.3832947857356228,78,1572,1650,Sedang
20,2011-01-20,Spring,2011,January,0,Thursday,1,2,0.25237054609098203,0.23099803314770917,0.5535557840616966,0.3577047333041555,83,1844,1927,Sedang
21,2011-01-21,Spring,2011,January,0,Friday,1,1,0.1474943323457148,0.10338759591423975,0.4700082262210797,0.6820652963801405,75,1468,1543,Sedang
22,2011-01-22,Spring,2011,January,0,Saturday,0,1,0.0,0.0,0.41131105398457585,0.30836353336097194,93,888,981,Rendah
23,2011-01-23,Spring,2011,January,0,Sunday,0,1,0.046591395333247104,0.02595013772166467,0.44886580976863755,0.46221720394506954,150,836,986,Rendah
24,2011-01-24,Spring,2011,January,0,Monday,1,1,0.04767495962177924,0.051009521329268684,0.5056442159383033,0.2802439558885467,86,1330,1416,Sedang
25,2011-01-25,Spring,2011,January,0,Tuesday,1,2,0.2047851773987629,0.20405751231514158,0.6344030848329049,0.22141961398252175,186,1799,1985,Sedang
26,2011-01-26,Spring,2011,January,0,Wednesday,1,3,0.19733629593964935,0.1634629621656587,0.8868894601542416,0.5596255643242551,34,472,506,Rendah
27,2011-01-27,Spring,2011,January,0,Thursday,1,1,0.16930019141806119,0.18459638573827314,0.7069408740359897,0.18851929602926415,15,416,431,Rendah
28,2011-01-28,Spring,2011,January,0,Friday,1,2,0.17986419560179562,0.18934418654958657,0.815468380462725,0.2080277682889093,38,1129,1167,Sedang
29,2011-01-29,Spring,2011,January,0,Saturday,0,1,0.17119667813281042,0.17465448821411278,0.6701686375321336,0.2535159264215384,123,975,1098,Sedang
30,2011-01-30,Spring,2011,January,0,Sunday,0,1,0.19611765992977764,0.2247918948463849,0.7425953727506426,0.10635735406320679,140,956,1096,Sedang
31,2011-01-31,Spring,2011,January,0,Monday,1,2,0.1516474139621794,0.1406887448374065,0.6208226221079691,0.33974448704757426,42,1459,1501,Sedang
32,2011-02-01,Spring,2011,February,0,Tuesday,1,2,0.16577885669014975,0.20406276285515962,0.8530231362467866,0.06353973116941777,47,1313,1360,Sedang
33,2011-02-02,Spring,2011,February,0,Wednesday,1,2,0.25029338225820486,0.2301671351898542,0.7973439588688945,0.49872317739680744,72,1454,1526,Sedang
34,2011-02-03,Spring,2011,February,0,Thursday,1,1,0.1592782185884108,0.12969936457964698,0.4502066838046272,0.5264386905595116,61,1489,1550,Sedang
35,2011-02-04,Spring,2011,February,0,Friday,1,2,0.1896157757789489,0.1962617730233554,0.6017655526992287,0.21738515554311294,88,1620,1708,Sedang
36,2011-02-05,Spring,2011,February,0,Saturday,0,2,0.2170649911792185,0.2152569141736227,0.9554416452442158,0.2859111639876447,100,905,1005,Sedang
37,2011-02-06,Spring,2011,February,0,Sunday,0,1,0.28248256839625757,0.27906803964787774,0.5844041131105397,0.24616649140033642,354,1269,1623,Sedang
